Story,Task,Estimate min (hr),Estimate max (hr),Actual,Comment,Task Link
Backend API,Setup BE project #4,1,2,0.5,,https://github.com/gurmessa/llm-lab/issues/4
Backend API,models & db #5,2,4,,,https://github.com/gurmessa/llm-lab/issues/5
Backend API,API Endpoints #6,2,4,,,https://github.com/gurmessa/llm-lab/issues/6
Backend API,Export CSV #14,1,2,,,https://github.com/gurmessa/llm-lab/issues/14
Backend API,Export JSON #15,1,2,,,https://github.com/gurmessa/llm-lab/issues/15
Frontend,UI/UX #7,2,3,,,https://github.com/gurmessa/llm-lab/issues/7
Frontend,setup FE project #8,1,2,,,https://github.com/gurmessa/llm-lab/issues/8
Frontend,Build UI #9,5,10,,,https://github.com/gurmessa/llm-lab/issues/9
LLM Generation & Custom metrics,LLM Integration ,2,4,,,https://github.com/gurmessa/llm-lab/issues/24
LLM Generation & Custom metrics,Implement Metrics #25,6,10,,,https://github.com/gurmessa/llm-lab/issues/25
Documentation,README & Architectural Docs #17,2,3,,,https://github.com/gurmessa/llm-lab/issues/17
Deployment,containerize #20,1,2,,,https://github.com/gurmessa/llm-lab/issues/20
Deployment,CI/CD using github actions #21,2,4,,,https://github.com/gurmessa/llm-lab/issues/21
Deployment,Deploy on VPS #22,1,3,,,https://github.com/gurmessa/llm-lab/issues/22
Deployment,DNS configuration for subdomain #23,1,2,,,https://github.com/gurmessa/llm-lab/issues/23
